source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
Republic the Philippines Mines & Geosciences Bureau,http://r7.mgb.gov.ph/16-february-2012/,4197,02/14/2012 12:00:00 AM,,"Pulangbato, Cebu City","CEBU CITY, February 15 (PIA) --- The Mines and Geosciences Bureau (MGB)-7 reiterated its findings that portions of Barangays Busay, Binaliw, and Pulangbato in Cebu City are highly susceptible to landslides following the downpour of intense rains in Cebu. In an official report from the Regional Disaster Risk Reduction and Management Council (RDRRMC), the three mentioned barangays experienced minor landslides yesterday after the heavy downpour of rains. The barangays are located northwest of Cebu City and have steep terrains that are prone to the occurrence of landslides.","Pulangbato, Cebu City",10km,landslide,downpour,medium,unknown,0.0,,,,,glc,4197.0,Philippines,PH,Central Visayas,48638.0,Consolacion,4.34527,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.92,10.39
BusinessWorld Online,http://www.bworldonline.com/content.php?section=Nation&title=-death-toll-from-rains-rises-nationwide-floods-displace-hundreds-in-leyte&id=46961,4205,02/16/2012 12:00:00 AM,,"Mahaplag, Leyte","Thursday’s landslides were noted in Barangays Burubudan, Tadoc and Paguite in Abuyog; Barangays Pulahongon, Mahaplag, Leyte; and Barangay Kahupian, Sogod, Southern Leyte.","Mahaplag, Leyte",25km,landslide,downpour,medium,unknown,0.0,,,,,glc,4205.0,Philippines,PH,Eastern Visayas,0.0,Mahaplag,0.71608,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,124.9705,10.6073
Republic the Philippines Mines & Geosciences Bureau,http://r7.mgb.gov.ph/16-february-2012/,4195,02/14/2012 12:00:00 AM,,"Barangays Busay, Cebu City","CEBU CITY, February 15 (PIA) --- The Mines and Geosciences Bureau (MGB)-7 reiterated its findings that portions of Barangays Busay, Binaliw, and Pulangbato in Cebu City are highly susceptible to landslides following the downpour of intense rains in Cebu. In an official report from the Regional Disaster Risk Reduction and Management Council (RDRRMC), the three mentioned barangays experienced minor landslides yesterday after the heavy downpour of rains. The barangays are located northwest of Cebu City and have steep terrains that are prone to the occurrence of landslides.","Barangays Busay, Cebu City",10km,landslide,downpour,medium,unknown,0.0,,,,,glc,4195.0,Philippines,PH,Central Visayas,798634.0,Cebu City,5.89364,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.89,10.37
Republic the Philippines Mines & Geosciences Bureau,http://r7.mgb.gov.ph/16-february-2012/,4196,02/14/2012 12:00:00 AM,,"Binaliw, Cebu City","CEBU CITY, February 15 (PIA) --- The Mines and Geosciences Bureau (MGB)-7 reiterated its findings that portions of Barangays Busay, Binaliw, and Pulangbato in Cebu City are highly susceptible to landslides following the downpour of intense rains in Cebu. In an official report from the Regional Disaster Risk Reduction and Management Council (RDRRMC), the three mentioned barangays experienced minor landslides yesterday after the heavy downpour of rains. The barangays are located northwest of Cebu City and have steep terrains that are prone to the occurrence of landslides.","Binaliw, Cebu City",10km,landslide,downpour,medium,unknown,0.0,,,,,glc,4196.0,Philippines,PH,Central Visayas,48638.0,Consolacion,7.06201,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.91,10.42
www.abs-cbnnews.com,http://www.abs-cbnnews.com/nation/regions/07/21/13/rains-cause-landslide-3-cebu-barangays,5153,07/21/2013 12:00:00 AM,,"Pamutan, Cebu City","Three barangays in Cebu City experienced landslides due to the non-stop rains that hit the area since Saturday night. According to Cebu City Risk Reduction and Management Council (CDRRMC), the affected barangays were Buhisan, Pamutan at Sapangdaku. The CDRRMC added no one was hurt from the incidents.","Pamutan, Cebu City",5km,landslide,rain,medium,unknown,0.0,,,,,glc,5153.0,Philippines,PH,Central Visayas,798634.0,Cebu City,1.39014,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.888,10.329
Cebu Daily News,http://cebudailynews.inquirer.net/104513/early-morning-rains-cause-landslides-in-cebu-talisay-cities,9979,09/08/2016 06:04:00 PM,,Landslide on Manipis Road,ose soil that blocked the Talisay City bound lane of the Manipis Road obstructed traffic flow in the area this morning. Manipis Councilor Roberto Olivar said lose soil coming from the roadside hill started to erode about 11 a.m. and blocked one lane of the two-lane road. Olivar said vehicles passing by the area were forced to take turns in using the roads outer lane bound for Campo 5.,"Manipis Road, Cebu, Philippines",5km,landslide,rain,medium,above_road,0.0,0.0,,,,,,,,,,,,07/03/2017 06:04:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.821113,10.283626
The Manila Times,http://www.manilatimes.net/mudslide-displaces-families-in-baguio-classes-suspended-in-flooded-provinces/280329/,9871,08/15/2016 12:40:00 PM,,Mudslide in Barangay Guisad Surong,"About five families in Barangay Guisad Surong in Baguio City escaped death after a mudslide almost buried their houses on Monday evening, while classes in all levels were suspended on Tuesday in most provinces in Northern Luzon because of flashfloods as monsoon rains or habagat pummeled the country. Continuous rains were reported to have softened the soil, causing mud to slide down Guisad Surong.  No casualties were reported.",Barangay Guisad Surong in Baguio City in Phillipines,5km,mudslide,continuous_rain,medium,urban,0.0,0.0,,,,,,,,,,,,06/30/2017 12:40:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,120.595832,16.404676
Visayan Daily Star,http://www.visayandailystar.com/2017/May/26/negor2.htm,9793,05/24/2017 08:14:00 PM,,Landslide in Valencia,Landslide off of cliff closes mountain roads and cause river damming,"Major road artery to the Palinpinon geothermal power plant, Valencia, Negros Oriental",5km,landslide,continuous_rain,medium,above_road,0.0,0.0,,,,,,,,,,,,06/20/2017 08:14:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.2109112,9.309786719
Abante Tonight,http://www.abante-tonite.com/3-patay-sa-palawan-landslide.htm,9760,05/28/2017 01:34:00 PM,,Palawan Landslide,Torrential rain caused a landslide that buried a house,"Barangay Light, Peurto Princessa, Palawan",10km,landslide,rain,medium,natural_slope,5.0,0.0,,,"Report not in English, translated using Google Translate",,,,,,,,,06/16/2017 01:34:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,118.8014459,9.94928114
Northbound Phillipines,http://northboundasia.com/2017/05/25/mother-dies-2-minors-injured-landslide-buries-house-baguio-city/#.WT7anuvytaQ,9794,05/24/2017 08:14:00 PM,,Wall collapse in Baugio City,Rain triggers a construction wall to collapse and bury another house,"Barangay Kias, Baguio City",1km,landslide,rain,small,urban,1.0,2.0,,http://northboundasia.com/wp-content/uploads/2017/05/05-25-kias.jpg,,,,,,,,,,06/20/2017 08:14:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,120.6312641,16.36626096
GMA News,http://www.gmanetwork.com/news/news/regions/579563/benguet-landslide-leaves-500-motorists-stranded/story/,9914,08/30/2016 02:32:00 PM,,Landslide on a section of the Baguio-Bontoc road,Continuous heavy rain caused the landslide that had left stranded some 500 motorists bound for Baguio City and Bontoc in the Mountain province. A repo,"Barangay Sayangan, Atok, Benguet",25km,landslide,continuous_rain,large,,0.0,0.0,,,,,,,,,,,,07/03/2017 02:32:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,120.732714,16.574445
Relief Web,http://reliefweb.int/sites/reliefweb.int/files/resources/doc04959220140905093811.pdf,6347,09/01/2014 12:00:00 AM,,"Sitio Calot, Santa Felomina, Quezon, Bukidnon",2 men in their 40s die of asphyxia,"Sitio Calot, Santa Felomina, Quezon, Bukidnon",50km,landslide,rain,medium,unknown,2.0,0.0,,,,glc,6347.0,Philippines,PH,Northern Mindanao,6508.0,Salawagan,2.68383,11/05/2014 08:33:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,125.1335,7.7211
sunstar,http://www.sunstar.com.ph/cebu/local-news/2011/12/28/flooding-hits-13-cebu-lgus-197768,4116,12/27/2011 12:00:00 AM,,Panas,"But a road in a barangay in Consolacion collapsed, while two landslides occurred in the barangays of Garing and Panas. The landslides blocked roads and toppled some electrical posts, causing traffic congestion and brownout. FLOODS displaced hundreds of people, killed a mother and her daughter, and swept away a six-year-old boy in Cebu Province yesterday. Heavy rains in the last two days flooded several barangays in the towns of Tabogon, Consolacion, Balamban, Liloan, Carmen, Catmon, Sogod, and Minglanilla, and the cities of Danao, Mandaue, Lapu-Lapu, Cebu, and Toledo.",Panas,5km,landslide,downpour,medium,unknown,0.0,,,,,glc,4116.0,Philippines,PH,Central Visayas,48638.0,Consolacion,1.57075,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.97,10.37
GMA News Online,http://www.gmanetwork.com/news/story/557633/news/regions/landslide-renders-highway-in-quezon-province-impassable,9343,03/03/2016 12:00:00 AM,,Mauban,"The Mauban landslide caused by heavy rain that has been going on for five days has blocked the national highway going to Barangay Cagsiay 1, local officials told GMA News.",Mauban,25km,landslide,flooding,unknown,above_road,0.0,0.0,,http://images.gmanews.tv/webpics/2016/03/landslidequezon_2016_03_03_13_52_51.jpg,,glc,9343.0,Philippines,PH,Mimaropa,32739.0,Mauban,5.44859,08/03/2016 02:35:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,121.6979,14.2282
ABS CBN News.com,http://news.abs-cbn.com/nation/regions/01/23/14/landslide-strands-motorists-hours-pagudpud,5816,01/23/2014 12:00:00 AM,,Pan-Philippine Hwy Pagudpud,"ILOCOS -- Motorists got stranded in Patapat Bridge in Brgy. Pancian, Pagudpud, Ilocos Norte after the land surrounding the bridge collapsed Thursday morning.  ",Pan-Philippine Hwy Pagudpud,10km,landslide,downpour,unknown,below_road,0.0,0.0,,,,glc,5816.0,Philippines,PH,Ilocos,4945.0,Pagudpud,4.69777,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,120.8221,18.5875
Interaksyon,,5763,01/11/2014 12:00:00 AM,,Pan - Philippine Hwy Pinabacdao,"A landslide was monitored in Pinabacdao town in Samar but the area is now passable to all types of vehicles, according to reports from the Office of Civil Defense (OCD) here. Landslides and floods, meanwhile, also affected over 4,000 people in parts of Mindanao, the NDRRMC reported Sunday.    ",Pan - Philippine Hwy Pinabacdao,5km,landslide,tropical_cyclone,medium,unknown,0.0,0.0,Agaton,,,glc,5763.0,Philippines,PH,Eastern Visayas,2920.0,Calbiga,10.15072,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,125.0725,11.5515
Sun Star Cagayan de Oro,http://archive.sunstar.com.ph/cagayan-de-oro/local-news/2014/01/18/agaton-brings-landslides-oro-misor-323829,5794,01/17/2014 12:00:00 AM,,Malasag Rd Cagayan de Oro,"Saturday, January 18,/2014. TWO landslides have been reported in Cagayan de Oro City and Misamis Oriental Province on Friday as the low pressure area (LPA) turned into a tropical depression named by the state weather bureau as ‘Agaton’. The City Disaster Risk Reduction and Management Office (CDRRMO) and the Provincial Disaster Risk Reduction and Management Office (PDRRMO) confirmed on Friday landslides in Barangay F.S. Catanico and in Barangay Sta. Ana, Tagoloan town. Alejandro Bascon, head of the PDRRMO, said the landslide in Sta. Ana rendered one lane impassable. He added the road is linked to the national road going to Bukidnon province. There were no casualties during the landslide,” Bascon said. Meanwhile, Virgil Lago, the weather specialist of CDRRMO, said the landslide at F.S. Catanico happened on Thursday but it was only reported on Friday since the area is the hinterland while communication and verification took time. Lago confirmed no one was hurt in the landslide in F.S. Cat",Malasag Rd Cagayan de Oro,10km,landslide,tropical_cyclone,medium,unknown,0.0,0.0,Agaton,,,glc,5794.0,Philippines,PH,Northern Mindanao,14756.0,Agusan,5.80403,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,124.7212,8.4406
RadioAustralia.net,http://www.radioaustralia.net.au/news/stories/s1974781.htm,120,07/10/2007 12:00:00 AM,,Mt. Diwalwal,RadioAustralia.net,Mt. Diwalwal,50km,landslide,rain,medium,unknown,,,,,,glc,120.0,Philippines,PH,Davao,0.0,Kapalong,12.76242,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,125.4498,7.8098
pia,http://www.pia.gov.ph/?m=1&t=1&id=12537,2944,01/07/2011 12:00:00 AM,,"Timbang(?) and other barangays of Caraga municipality, Mindanao","The Sangguniang Bayan of Boston, on January 10, declared the town under a state of calamity when some of its barangays were affected by flashfloods as a result of intermittent rains that occurred since late last year until early days of January this year.  Meanwhile, Timbang bared the declaration of a state of calamity by the Sangguniang Bayan of the Municipality of Caraga on January 17.  Caraga suffered damages to life and property when landslides came about due to heavy rains that occurred at the onset of the year, affecting its 10 far-flung barangays.  In explaining the late declaration, Timbang said officials of affected barangays of Caraga found it hard to come down and join the convening of the MDRRMC to make their official reports because roads were impassable.  Verifying their reports also took time due to bad state of access roads going to affected barangays.  “Dugay sila naka baba, dili pud masaka ang ilang lugar. (They took time coming down from the barangays, and their area","Timbang(?) and other barangays of Caraga municipality, Mindanao",unknown,landslide,continuous_rain,medium,unknown,1.0,,,,,glc,2944.0,Philippines,PH,Caraga,31114.0,Cabadbaran,0.44765,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,125.5339,9.1196
Inquirer.net,http://newsinfo.inquirer.net/562551/2000-families-flee-as-floods-landslides-hit-s-mindanao,5766,01/12/2014 12:00:00 AM,,Katipunan,"TAGUM CITY – One person was hurt and more than 2,000 families have fled to safer grounds due to landslides and flooding spawned by a low pressure area in several areas in southern Mindanao, authorities on Sunday said.",Katipunan,5km,landslide,tropical_cyclone,large,unknown,23.0,1.0,Agaton,,,glc,5766.0,Philippines,PH,Zamboanga Peninsula,4172.0,Katipunan,2.87078,01/26/2015 08:02:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.304,8.4987
gmanews,http://www.gmanews.tv/story/122749/Damage-caused-by-Nina-reaches-P29498M,810,09/23/2008 12:00:00 AM,,"Manila North Road Ilocos Norte section, Itogon Dalupirip Road ","only one lane in the Manila North Road Ilocos Norte section was passable due to landslides. The Tawi Overflow Bridge in Penablanca, Cagayan remained impassable as of Wednesday. In Cordillera, only one lane of the Pico-Lamtang Road was open due to landslide. The Acop Kapangan-Kibungan-Bakun Benguet 1st was closed to traffic due to mudslides","Manila North Road Ilocos Norte section, Itogon Dalupirip Road ",50km,complex,tropical_cyclone,medium,unknown,,,Typhoon Nina,,,glc,810.0,Philippines,PH,Ilocos,9636.0,Bacarra,2.85869,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,120.6,18.23
journal,http://www.journal.com.ph/index.php/top-stories/25212-2-dead-thousands-flee-in-albay-floods.html,2911,12/29/2010 05:30:00 PM,,"Barangay Pinapian (Tinapian) in Manito municipality, Albay Province","Salceda placed Albay under a state of calamity yesterday after five days of continuous heavy rains. Salceda said the two have been evacuated early Wednesday morning but apparently returned home to get some personal belongings. While returning to the evacuation center, they got stuck on the spillway and were carried away by the rushing waters, he said. Albay Police Provincial Office director, Senior Supt. William Macavinta,  said hundreds have been evacuated in Barangay Pinapian in Manito municipality which was struck by a landslide 5:30 p.m. Wednesday. Macavinta said the bodies of the two fatalities he identified as Lolita Dadap and her son Antonio were recovered early morning yesterday, hours after they were reported missing 5:30 p.m. Wednesday while crossing the spillway. At least two others who were previously reported missing have been found safely, he added as heavy rains continued to pound the province.","Barangay Pinapian (Tinapian) in Manito municipality, Albay Province",5km,landslide,downpour,medium,unknown,2.0,,,,,glc,2911.0,Philippines,PH,Bicol,3579.0,Buyo,3.07524,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.8421,13.1004
newsinfo.inquirer,http://newsinfo.inquirer.net/215499/4-roads-in-car-impassable-due-to-landslides-dpwh,4419,06/19/2012 12:00:00 AM,,"Kennon road, Benguet, Cordillera Administrative Region","Four roads in the Cordillera Administrative Region were impassable on Tuesday morning due to landslides triggered by rains brought by Typhoon “Butchoy,” according to the Department of Public Works and Highways.","Kennon road, Benguet, Cordillera Administrative Region",5km,landslide,downpour,medium,unknown,,,,,,glc,4419.0,Philippines,PH,Cordillera Administrative Region,0.0,Bokod,6.75217,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,120.8299,16.5505
balita.ph,http://balita.ph/2010/12/11/flashfloods-landslides-displace-52-families-in-south-cotabato/,2797,12/09/2010 12:00:00 AM,,"Villages around T'boli town, near Allah river","In T’boli town, Pereira said the Municipal Social Welfare and Development Office reported that some 30 families were affected by the floods and landslides that hit villages located near the critical Allah River.  She said the report noted that at least 10 houses and a classroom building were destroyed by the landslides. Landslide occurred during past few days.","Villages around T'boli town, near Allah river",25km,landslide,downpour,medium,unknown,0.0,,,,,glc,2797.0,Philippines,PH,Davao,0.0,T”boli,9.12509,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,124.8955,6.1458
abs-cbnnews,http://www.abs-cbnnews.com/nation/regions/10/18/10/landslide-isolates-barangay-apayao,2612,10/18/2010 07:00:00 AM,,"Kabugao National Road, barangay Lenneng in Kabugao, Apayao province","A minor landslide has cut off land access to barangay Lenneng in Kabugao, Apayao province Monday morning, the Philippine National Police said. PNP chief Director General Raul Bacalzo said the landslide poured rock and debris on Kabugao National Road in Apayao province, rendering it impassable to all types of vehicles as of 7 a.m. He said the PNP has put all reserve assets on standby for possible deployment to clear roads and highways all over the country. Public Works and Highway Secretary Rogelio ""Babes"" Singson said the Kabugao National Road is not one of the major thoroughfares that the department is watching. The National Disaster Coordinating Council said it has evacuated a total of 51 families in Isabela and another 576 families in Cagayan ahead of the expected landfall of supertyphoon Juan Monday noon. ","Kabugao National Road, barangay Lenneng in Kabugao, Apayao province",5km,landslide,tropical_cyclone,medium,unknown,0.0,,Supertyphoon Juan (Megi),,,glc,2612.0,Philippines,PH,Cordillera Administrative Region,2337.0,Kabugao,11.91837,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,121.2194,17.9209
